away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name
45.5,5,2.9,1,131.0,68.0,17,0.218,55,0.2,11,0.255,14,0.571,8,0,200,45.1,14.3,6,7,32,,7.0,5,0.4,22,0.091,2,34.3,23,0.26,20.7,16,33,0.273,9,0.0,0,"November 25, 2020",73.0,27,24.2,8,45.1,85.7,36,0.64,68,0.544,37,0.103,7,0.857,6,0,200,131.0,32.0,8,11,93,,12.7,9,0.5,34,0.382,13,65.7,44,0.652,10.1,8,34,0.706,24,1.0,1,"Christl Arena, West Point, New York","Merchant Marine Academy
			","Merchant Marine Academy
			",71.5,Home,ARMY,Army
22.7,5,7.7,2,108.2,88.9,24,0.373,63,0.349,22,0.206,13,0.769,10,2,200,78.1,12.5,5,10,57,,12.3,9,0.381,24,0.125,3,43.3,29,0.412,12.7,10,39,0.487,19,0.0,0,"November 27, 2020",76.7,23,5.1,2,78.1,87.5,35,0.658,57,0.526,30,0.175,10,0.4,4,0,200,108.2,11.1,3,12,79,,2.7,2,0.544,31,0.484,15,56.7,38,0.64,17.5,13,26,0.577,15,1.0,2,"Mohegan Sun Arena, Uncasville, Connecticut",CENTRAL-CONNECTICUT-STATE,Central Connecticut,73.0,Home,ARMY,Army
60.0,18,6.3,3,92.5,85.3,29,0.542,59,0.508,30,0.356,21,0.667,14,0,200,97.5,6.5,2,16,78,,10.0,8,0.373,22,0.182,4,47.7,31,0.565,17.0,14,37,0.703,26,1.0,3,"November 28, 2020",36.7,11,13.5,5,97.5,93.5,29,0.492,66,0.455,30,0.212,14,0.643,9,1,200,92.5,14.7,5,22,74,,11.3,9,0.273,18,0.278,5,52.3,34,0.509,14.3,12,48,0.521,25,0.5,1,"Mohegan Sun Arena, Uncasville, Connecticut",BUFFALO,Buffalo,80.3,Away,ARMY,Army
55.2,16,14.7,5,104.6,75.6,31,0.493,68,0.426,29,0.632,43,0.674,29,0,225,110.3,47.6,20,25,96,,5.7,5,0.471,32,0.281,9,61.4,51,0.543,17.2,18,36,0.556,20,1.0,1,"November 26, 2020",62.5,20,5.6,2,110.3,52.4,22,0.514,74,0.432,32,0.311,23,0.652,15,1,225,104.6,24.4,10,32,91,,3.4,3,0.541,40,0.3,12,38.6,32,0.536,13.4,13,34,0.588,20,0.0,0,"Suncoast Credit Union Arena, Fort Myers, Florida",SAINT-JOSEPHS,St. Joseph's,77.5,Away,AUBURN,Auburn
52.8,19,16.7,4,87.0,76.3,29,0.574,68,0.529,36,0.25,17,0.706,12,0,200,116.9,30.3,10,17,90,1,9.1,7,0.309,21,0.286,6,54.9,39,0.592,15.6,14,47,0.638,30,1.0,2,"November 27, 2020",54.5,12,14.9,7,116.9,69.7,23,0.466,59,0.373,22,0.254,15,0.8,12,1,200,87.0,23.7,9,17,67,,11.7,9,0.593,35,0.314,11,45.1,32,0.507,20.6,17,24,0.458,11,0.5,1,"Suncoast Credit Union Arena, Fort Myers, Florida",AUBURN,Auburn,77.1,Away,GONZAGA,Gonzaga
56.0,14,12.2,6,84.6,70.3,26,0.491,57,0.439,25,0.421,24,0.667,16,0,200,92.3,28.6,10,20,72,,14.1,11,0.316,18,0.333,6,50.0,36,0.526,22.0,19,39,0.487,19,1.0,1,"November 25, 2020",19.2,5,5.1,2,92.3,71.4,25,0.451,61,0.426,26,0.311,19,0.579,11,1,200,84.6,29.7,11,23,66,,9.0,7,0.197,12,0.25,3,50.0,36,0.471,21.5,19,49,0.469,23,0.0,0,"Germain Arena, Estero, Florida",NEBRASKA-OMAHA,Omaha,77.7,Away,AUSTIN-PEAY,Austin Peay
41.7,10,0.0,0,97.1,52.4,22,0.5,57,0.421,24,0.316,18,0.5,9,2,200,95.7,34.3,12,20,66,,11.6,8,0.509,29,0.31,9,44.2,34,0.503,19.8,16,28,0.536,15,0.0,0,"November 26, 2020",37.5,9,7.1,2,95.7,65.7,23,0.411,62,0.387,24,0.355,22,0.727,16,0,200,97.1,47.6,20,19,67,,10.1,7,0.226,14,0.214,3,55.8,43,0.462,18.2,16,48,0.438,21,1.0,2,"Germain Arena, Estero, Florida",EAST-TENNESSEE-STATE,ETSU,69.0,Home,AUSTIN-PEAY,Austin Peay
41.4,12,2.4,1,96.0,64.5,20,0.594,53,0.547,29,0.547,29,0.586,17,0,200,106.7,19.2,5,18,80,,16.0,12,0.17,9,0.556,5,43.9,25,0.599,18.6,15,44,0.545,24,1.0,2,"November 27, 2020",44.4,12,2.3,1,106.7,80.8,21,0.5,59,0.458,27,0.271,16,0.813,13,1,200,96.0,35.5,11,23,72,,2.7,2,0.288,17,0.294,5,56.1,32,0.541,21.4,18,42,0.524,22,0.667,2,"Germain Arena, Estero, Florida",AUSTIN-PEAY,Austin Peay,75.2,Away,ABILENE-CHRISTIAN,Abilene Christian
39.3,11,10.8,4,107.2,56.4,22,0.484,64,0.438,28,0.328,21,0.524,11,1,200,105.8,38.2,13,21,73,,10.1,7,0.359,23,0.261,6,47.9,35,0.493,10.9,9,41,0.537,22,0.0,0,"November 25, 2020",59.3,16,0.0,0,105.8,61.8,21,0.477,65,0.415,27,0.354,23,0.522,12,0,200,107.2,43.6,17,20,74,,7.2,5,0.431,28,0.286,8,52.1,38,0.487,10.7,9,37,0.514,19,1.0,1,"Bank of Kentucky Center, Highland Heights, Kentucky",BALL-STATE,Ball State,69.0,Home,NORTHERN-KENTUCKY,Northern Kentucky
37.5,12,5.7,3,134.9,63.6,21,0.574,61,0.525,32,0.262,16,0.75,12,1,200,98.8,18.8,6,15,82,,6.0,5,0.311,19,0.316,6,41.5,27,0.598,21.8,19,42,0.619,26,0.0,0,"November 28, 2020",55.6,25,2.4,1,98.8,81.3,26,0.656,80,0.563,45,0.163,13,0.538,7,0,200,134.9,36.4,12,15,112,2,14.5,12,0.338,27,0.556,15,58.5,38,0.65,10.4,10,53,0.566,30,1.0,1,"T-Mobile Arena, Las Vegas, Nevada",LOUISIANA-LAFAYETTE,Louisiana,82.9,Home,BAYLOR,Baylor
